ID;Matériau;Dimension;Caractéristique;Précision;Qté;Unité;PR. FO;Type FO;K FO;PV FO;h MO;Type MO;K MO;PV MO;PV.U. total;Prix total;F1_nom;F1_prix;F1_ref;F1_source;F2_nom;F2_prix;F2_ref;F2_source;F3_nom;F3_prix;F3_ref;F3_source;Temps (h);"Temps (1""/h)"
Cal.C3.65;Rockwool 835;DN65;Calo chaud;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.80;Rockwool 835;DN80;Calo chaud;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.100;Rockwool 835;DN100;Calo chaud;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.125;Rockwool 835;DN125;Calo chaud;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.150;Rockwool 835;DN150;Calo chaud;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.200;Rockwool 835;DN200;Calo chaud;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.250;Rockwool 835;DN250;Calo chaud;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.300;Rockwool 835;DN300;Calo chaud;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.350;Rockwool 835;DN350;Calo chaud;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.400;Rockwool 835;DN400;Calo chaud;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.450;Rockwool 835;DN450;Calo chaud;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.500;Rockwool 835;DN500;Calo chaud;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.15;Rockwool 835;DN15;Calo chaud;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.20;Rockwool 835;DN20;Calo chaud;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.25;Rockwool 835;DN25;Calo chaud;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.32;Rockwool 835;DN32;Calo chaud;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.40;Rockwool 835;DN40;Calo chaud;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.50;Rockwool 835;DN50;Calo chaud;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.65;Rockwool 835;DN65;Calo chaud;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.80;Rockwool 835;DN80;Calo chaud;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.100;Rockwool 835;DN100;Calo chaud;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.125;Rockwool 835;DN125;Calo chaud;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.150;Rockwool 835;DN150;Calo chaud;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.200;Rockwool 835;DN200;Calo chaud;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.250;Rockwool 835;DN250;Calo chaud;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.300;Rockwool 835;DN300;Calo chaud;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.350;Rockwool 835;DN350;Calo chaud;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.400;Rockwool 835;DN400;Calo chaud;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.450;Rockwool 835;DN450;Calo chaud;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.500;Rockwool 835;DN500;Calo chaud;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.15;Kooltherm;DN15;Calo froid;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.20;Kooltherm;DN20;Calo froid;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.25;Kooltherm;DN25;Calo froid;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.32;Kooltherm;DN32;Calo froid;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.40;Kooltherm;DN40;Calo froid;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.50;Kooltherm;DN50;Calo froid;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.65;Kooltherm;DN65;Calo froid;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.80;Kooltherm;DN80;Calo froid;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.100;Kooltherm;DN100;Calo froid;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.125;Kooltherm;DN125;Calo froid;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.150;Kooltherm;DN150;Calo froid;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.200;Kooltherm;DN200;Calo froid;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.250;Kooltherm;DN250;Calo froid;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.300;Kooltherm;DN300;Calo froid;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.350;Kooltherm;DN350;Calo froid;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.400;Kooltherm;DN400;Calo froid;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.450;Kooltherm;DN450;Calo froid;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.500;Kooltherm;DN500;Calo froid;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.15;Kooltherm;DN15;Calo froid;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.20;Kooltherm;DN20;Calo froid;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.25;Kooltherm;DN25;Calo froid;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.32;Kooltherm;DN32;Calo froid;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.40;Kooltherm;DN40;Calo froid;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.50;Kooltherm;DN50;Calo froid;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.65;Kooltherm;DN65;Calo froid;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.80;Kooltherm;DN80;Calo froid;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.100;Kooltherm;DN100;Calo froid;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.125;Kooltherm;DN125;Calo froid;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.150;Kooltherm;DN150;Calo froid;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.200;Kooltherm;DN200;Calo froid;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.250;Kooltherm;DN250;Calo froid;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.300;Kooltherm;DN300;Calo froid;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.350;Kooltherm;DN350;Calo froid;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.400;Kooltherm;DN400;Calo froid;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.450;Kooltherm;DN450;Calo froid;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.500;Kooltherm;DN500;Calo froid;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.15;Kooltherm;DN15;Calo froid;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.20;Kooltherm;DN20;Calo froid;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.25;Kooltherm;DN25;Calo froid;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.32;Kooltherm;DN32;Calo froid;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.40;Kooltherm;DN40;Calo froid;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.50;Kooltherm;DN50;Calo froid;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.65;Kooltherm;DN65;Calo froid;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.80;Kooltherm;DN80;Calo froid;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.100;Kooltherm;DN100;Calo froid;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.125;Kooltherm;DN125;Calo froid;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.150;Kooltherm;DN150;Calo froid;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.200;Kooltherm;DN200;Calo froid;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.250;Kooltherm;DN250;Calo froid;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.300;Kooltherm;DN300;Calo froid;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.350;Kooltherm;DN350;Calo froid;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.400;Kooltherm;DN400;Calo froid;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.450;Kooltherm;DN450;Calo froid;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C4.500;Kooltherm;DN500;Calo froid;Classe 4;;m²;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Col.C2.15;;DN15;Collier froid;Classe 2;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C2.20;;DN20;Collier froid;Classe 2;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C2.25;;DN25;Collier froid;Classe 2;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C2.32;;DN32;Collier froid;Classe 2;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C2.40;;DN40;Collier froid;Classe 2;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C2.50;;DN50;Collier froid;Classe 2;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C2.65;;DN65;Collier froid;Classe 2;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C2.80;;DN80;Collier froid;Classe 2;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C2.100;;DN100;Collier froid;Classe 2;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C2.125;;DN125;Collier froid;Classe 2;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C2.150;;DN150;Collier froid;Classe 2;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C2.200;;DN200;Collier froid;Classe 2;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C2.250;;DN250;Collier froid;Classe 2;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C2.300;;DN300;Collier froid;Classe 2;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C2.350;;DN350;Collier froid;Classe 2;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C2.400;;DN400;Collier froid;Classe 2;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C2.450;;DN450;Collier froid;Classe 2;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C2.500;;DN500;Collier froid;Classe 2;;u;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Col.C3.15;;DN15;Collier froid;Classe 3;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C3.20;;DN20;Collier froid;Classe 3;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C3.25;;DN25;Collier froid;Classe 3;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C3.32;;DN32;Collier froid;Classe 3;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C3.40;;DN40;Collier froid;Classe 3;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C3.50;;DN50;Collier froid;Classe 3;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C3.65;;DN65;Collier froid;Classe 3;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C3.80;;DN80;Collier froid;Classe 3;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C3.100;;DN100;Collier froid;Classe 3;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C3.125;;DN125;Collier froid;Classe 3;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C3.150;;DN150;Collier froid;Classe 3;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C3.200;;DN200;Collier froid;Classe 3;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C3.250;;DN250;Collier froid;Classe 3;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C3.300;;DN300;Collier froid;Classe 3;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C3.350;;DN350;Collier froid;Classe 3;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C3.400;;DN400;Collier froid;Classe 3;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C3.450;;DN450;Collier froid;Classe 3;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C3.500;;DN500;Collier froid;Classe 3;;u;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Col.C4.15;;DN15;Collier froid;Classe 4;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C4.20;;DN20;Collier froid;Classe 4;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C4.25;;DN25;Collier froid;Classe 4;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C4.32;;DN32;Collier froid;Classe 4;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C4.40;;DN40;Collier froid;Classe 4;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C4.50;;DN50;Collier froid;Classe 4;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C4.65;;DN65;Collier froid;Classe 4;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C4.80;;DN80;Collier froid;Classe 4;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C4.100;;DN100;Collier froid;Classe 4;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C4.125;;DN125;Collier froid;Classe 4;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C4.150;;DN150;Collier froid;Classe 4;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C4.200;;DN200;Collier froid;Classe 4;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C4.250;;DN250;Collier froid;Classe 4;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C4.300;;DN300;Collier froid;Classe 4;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C4.350;;DN350;Collier froid;Classe 4;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C4.400;;DN400;Collier froid;Classe 4;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C4.450;;DN450;Collier froid;Classe 4;;u;;;;;;;;;;;;;;;;;;;;;;;;
Col.C4.500;;DN500;Collier froid;Classe 4;;u;;;;;;;;;;;;;;;;;;;;;;;;
